,name,abbr
0,Federated,FD
1,Light Smiley,MSY
2,Peace,MPR
3,Pembina,P
4,Secure Sask Light,MSE
5,Mixed Sweet Blend,MSW
6,Rainbow,RA
7,BC Light,BCL
8,Boundary Lake,BDY
9,Koch Alberta,CAL
10,Moose Jaw Tops,MJT
11,Pembina Light Sour,PLS
12,Hardisty Light,MBL
13,Medium Gibson Sour,MGS
14,Midale,MSM
15,Peace Pipe Sour,SPR
16,Conventional Heavy,CHV
17,Hardisty Synthetic Crude,HSC
18,Light Sour Blend,LSB
19,Medium Sour Blend,MSB
20,Mixed Sweet Blend,S
21,Premium Conventional Heavy,PCH
22,Premium Synthetic,PSY
23,Synbit Blend,SYB
24,Synthetic Sweet Blend,SYN
25,CNRL Light Sweet Synthetic,CNS
26,Husky Synthetic Blend,HSB
27,Long Lake Light Synthetic,PSC
28,Premium Albian Synthetic,PAS
29,Shell Synthetic Light,SSX
30,Suncor Synthetic A,OSA
31,Syncrude Sweet Premium,SSP
32,Bow River North,BRN
33,Bow River South,BRS
34,Fosterton,F
35,Lloyd Blend,LLB
36,Lloyd Kerrobert,LLK
37,Seal Heavy,SH
38,Smiley-Coleville,SC
39,Wabasca Heavy,WH
40,Western Canadian Blend,WCB
41,Access Western Blend,AWB
42,Borealis Heavy Blend,BHB
43,Canadian Natural High TAN,CNX
44,Christina Dilbit Blend,CDB
45,Cold Lake,CL
46,Fort Hills Dilbit,FRB
47,Kearl Lake,KDB
48,Leismer Corner Blend,LCB
49,Surmont Heavy Dilbit,SHD
50,Western Canada Dilbit,WDB
51,Western Canadian Select,WCS
52,Long Lake Heavy,PSH
53,PetroChina Blend,PXB
54,Statoil Cheecham Synbit,SCS
55,Surmont Heavy Blend,SHB
56,Surmont Mix A,SMA
57,Albian Heavy Synthetic,AHS
58,Suncor Synthetic H,OSH
